,time,protocol,src_ip,dst_ip,src_port,dst_port,length,payload_size,query_name,spotify_or_not,interarrival_time
0,2024-02-29 21:09:38.794671059,,,,,,,,,0,
1,2024-02-29 21:09:39.005105019,17.0,192.168.1.231,239.255.255.250,50528.0,1900.0,199.0,171.0,,0,
2,2024-02-29 21:09:39.032336950,17.0,192.168.1.46,192.168.1.255,57621.0,57621.0,68.0,40.0,,0,
3,2024-02-29 21:09:39.032784939,17.0,192.168.1.46,239.255.255.250,52901.0,1900.0,199.0,171.0,,0,0 days 00:00:00.027679920
4,2024-02-29 21:09:39.033746004,17.0,192.168.1.231,224.0.0.251,5353.0,5353.0,68.0,40.0,_googlecast._tcp.local.,0,
5,2024-02-29 21:09:39.033773899,17.0,fe80::10c9:a200:36ab:415e,ff02::fb,5353.0,5353.0,48.0,40.0,_googlecast._tcp.local.,0,
6,2024-02-29 21:09:39.167450905,17.0,192.168.1.231,239.255.255.250,55607.0,1900.0,153.0,125.0,,0,0 days 00:00:00.134665966
7,2024-02-29 21:09:39.176805019,17.0,192.168.1.231,224.0.0.251,5353.0,5353.0,73.0,45.0,_spotify-connect._tcp.local.,1,0 days 00:00:00.143059015
8,2024-02-29 21:09:39.177211046,17.0,fe80::10c9:a200:36ab:415e,ff02::fb,5353.0,5353.0,53.0,45.0,_spotify-connect._tcp.local.,1,0 days 00:00:00.143437147
9,2024-02-29 21:09:39.237155914,17.0,192.168.1.46,224.0.0.251,5353.0,5353.0,68.0,40.0,_googlecast._tcp.local.,0,0 days 00:00:00.060350895
10,2024-02-29 21:09:39.237445116,17.0,fe80::c58:f513:27d:20b4,ff02::fb,5353.0,5353.0,48.0,40.0,_googlecast._tcp.local.,0,0 days 00:00:00.060234070
11,2024-02-29 21:09:39.237884045,17.0,192.168.1.46,192.168.1.255,57621.0,57621.0,72.0,44.0,,0,0 days 00:00:00.205547095
12,2024-02-29 21:09:39.238241911,17.0,192.168.1.46,239.255.255.250,50890.0,1900.0,153.0,125.0,,0,0 days 00:00:00.070791006
13,2024-02-29 21:09:39.238405943,17.0,192.168.1.46,224.0.0.251,5353.0,5353.0,73.0,45.0,_spotify-connect._tcp.local.,1,0 days 00:00:00.001250029
14,2024-02-29 21:09:39.238786936,17.0,fe80::c58:f513:27d:20b4,ff02::fb,5353.0,5353.0,53.0,45.0,_spotify-connect._tcp.local.,1,0 days 00:00:00.001341820
15,2024-02-29 21:09:39.430830002,17.0,192.168.1.231,239.255.255.250,55607.0,1900.0,153.0,125.0,,0,0 days 00:00:00.192588091
