,time,protocol,src_ip,dst_ip,src_port,dst_port,length,payload_size,query_name,spotify_or_not,interarrival_time,dst_interarrival_time,cluster
0,1712706987.05885,3,fe80::82ab:4dff:febf:19e1,fe80::813:7ec4:1375:15d9,,,32.0,,,0,,,0
1,1712706987.059009,3,fe80::813:7ec4:1375:15d9,fe80::82ab:4dff:febf:19e1,,,24.0,,,0,0.0001590251922607,,1
2,1712706987.139797,2,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1700:1420:3b60::1,61799.0,53.0,51.0,43.0,gateway.fe2.apple-dns.net.,0,0.0807878971099853,,1
3,1712706987.139996,2,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1700:1420:3b60::1,52311.0,53.0,51.0,43.0,gateway.fe2.apple-dns.net.,0,0.0001990795135498,0.0001990795135498,1
4,1712706987.144126,2,2600:1700:1420:3b60::1,2600:1700:1420:3b60:e46c:b485:479d:6b1a,53.0,52311.0,83.0,75.0,gateway.fe2.apple-dns.net.,0,0.0041298866271972,,1
5,1712706987.147192,1,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2620:149:a43:180::2:2,61732.0,443.0,44.0,0.0,,0,0.003066062927246,,1
6,1712706987.14804,2,2600:1700:1420:3b60::1,2600:1700:1420:3b60:e46c:b485:479d:6b1a,53.0,61799.0,135.0,127.0,gateway.fe2.apple-dns.net.,0,0.0008480548858642,0.0039141178131103,1
7,1712706987.152101,1,2620:149:a43:180::2:2,2600:1700:1420:3b60:e46c:b485:479d:6b1a,443.0,61732.0,40.0,0.0,,0,0.0040609836578369,0.0040609836578369,1
8,1712706987.152793,1,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2620:149:a43:180::2:2,61732.0,443.0,32.0,0.0,,0,0.0006918907165527,0.0056009292602539,1
9,1712706987.152801,1,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2620:149:a43:180::2:2,61732.0,443.0,549.0,517.0,,0,8.106231689453125e-06,8.106231689453125e-06,1
10,1712706987.160079,1,2620:149:a43:180::2:2,2600:1700:1420:3b60:e46c:b485:479d:6b1a,443.0,61732.0,32.0,0.0,,0,0.0072779655456542,0.0079779624938964,1
11,1712706987.160085,1,2620:149:a43:180::2:2,2600:1700:1420:3b60:e46c:b485:479d:6b1a,443.0,61732.0,1460.0,1428.0,,0,5.960464477539063e-06,5.960464477539063e-06,2
12,1712706987.160584,1,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2620:149:a43:180::2:2,61732.0,443.0,32.0,0.0,,0,0.0004990100860595,0.0077829360961914,1
13,1712706987.162077,1,2620:149:a43:180::2:2,2600:1700:1420:3b60:e46c:b485:479d:6b1a,443.0,61732.0,1460.0,1428.0,,0,0.0014929771423339,0.0019919872283935,2
