,time,protocol,src_ip,dst_ip,src_port,dst_port,length,payload_size,query_name,spotify_or_not,interarrival_time,dst_interarrival_time
482,1712706987.602211,6.0,192.168.1.81,104.154.127.126,65010.0,4070.0,64.0,0.0,,0,0.0006709098815917969,
512,1712706987.660717,6.0,192.168.1.81,104.154.127.126,65010.0,4070.0,52.0,0.0,,0,0.0001399517059326172,0.058506011962890625
513,1712706987.661653,6.0,192.168.1.81,104.154.127.126,65010.0,4070.0,385.0,333.0,,0,0.0009360313415527344,0.0009360313415527344
663,1712706987.721692,6.0,192.168.1.81,104.154.127.126,65010.0,4070.0,52.0,0.0,,0,6.818771362304688e-05,0.06003904342651367
664,1712706987.725251,6.0,192.168.1.81,104.154.127.126,65010.0,4070.0,538.0,486.0,,0,0.0035588741302490234,0.0035588741302490234
832,1712706987.853844,6.0,192.168.1.81,104.154.127.126,65010.0,4070.0,52.0,0.0,,0,7.486343383789062e-05,0.12859296798706055
834,1712706987.854131,6.0,192.168.1.81,104.154.127.126,65010.0,4070.0,79.0,27.0,,0,0.0001308917999267578,0.00028705596923828125
841,1712706987.856028,6.0,192.168.1.81,104.154.127.126,65010.0,4070.0,603.0,551.0,,0,8.702278137207031e-05,0.0018970966339111328
842,1712706987.856121,6.0,192.168.1.81,104.154.127.126,65010.0,4070.0,52.0,0.0,,0,9.298324584960938e-05,9.298324584960938e-05
905,1712706987.916033,6.0,192.168.1.81,104.154.127.126,65010.0,4070.0,52.0,0.0,,0,5.91278076171875e-05,0.05991196632385254
954,1712706987.97608,6.0,192.168.1.81,104.154.127.126,65010.0,4070.0,52.0,0.0,,0,0.00011897087097167969,0.06004691123962402
2826,1712707048.056192,6.0,192.168.1.81,104.154.127.126,65010.0,4070.0,63.0,11.0,,0,0.011418819427490234,60.08011198043823
2844,1712707048.11648,6.0,192.168.1.81,104.154.127.126,65010.0,4070.0,52.0,0.0,,0,0.0002391338348388672,0.060288190841674805
2919,1712707054.187001,6.0,192.168.1.81,104.154.127.126,65010.0,4070.0,605.0,553.0,,0,0.10635209083557129,6.070520877838135
2942,1712707054.395961,6.0,192.168.1.81,104.154.127.126,65010.0,4070.0,52.0,0.0,,0,0.0003311634063720703,0.20896005630493164
3154,1712707087.89122,6.0,192.168.1.81,104.154.127.126,65010.0,4070.0,605.0,553.0,,0,0.003094196319580078,33.495259046554565
3167,1712707087.949053,6.0,192.168.1.81,104.154.127.126,65010.0,4070.0,52.0,0.0,,0,5.1021575927734375e-05,0.057832956314086914
3232,1712707107.89172,6.0,192.168.1.81,104.154.127.126,65010.0,4070.0,52.0,0.0,,0,0.0003991127014160156,19.94266700744629
3369,1712707121.590459,6.0,192.168.1.81,104.154.127.126,65010.0,4070.0,605.0,553.0,,0,0.1122732162475586,13.698739051818848
3380,1712707121.649354,6.0,192.168.1.81,104.154.127.126,65010.0,4070.0,52.0,0.0,,0,0.00013303756713867188,0.05889487266540527
3592,1712707155.485503,6.0,192.168.1.81,104.154.127.126,65010.0,4070.0,605.0,553.0,,0,0.03166794776916504,33.83614897727966
3610,1712707155.545018,6.0,192.168.1.81,104.154.127.126,65010.0,4070.0,52.0,0.0,,0,0.00011801719665527344,0.05951499938964844
3888,1712707189.096643,6.0,192.168.1.81,104.154.127.126,65010.0,4070.0,605.0,553.0,,0,0.039556026458740234,33.55162501335144
3900,1712707189.162988,6.0,192.168.1.81,104.154.127.126,65010.0,4070.0,52.0,0.0,,0,0.00024390220642089844,0.0663449764251709
4089,1712707222.736841,6.0,192.168.1.81,104.154.127.126,65010.0,4070.0,605.0,553.0,,0,0.09218406677246094,33.57385301589966
4100,1712707222.796542,6.0,192.168.1.81,104.154.127.126,65010.0,4070.0,52.0,0.0,,0,0.0001418590545654297,0.059700965881347656
4160,1712707227.872215,6.0,192.168.1.81,104.154.127.126,65010.0,4070.0,52.0,0.0,,0,0.0003800392150878906,5.0756731033325195
4363,1712707256.427072,6.0,192.168.1.81,104.154.127.126,65010.0,4070.0,605.0,553.0,,0,0.11582303047180176,28.55485701560974
4375,1712707256.488084,6.0,192.168.1.81,104.154.127.126,65010.0,4070.0,52.0,0.0,,0,0.00017309188842773438,0.06101202964782715
