,time,protocol,src_ip,dst_ip,src_port,dst_port,length,payload_size,query_name,spotify_or_not,interarrival_time
0,2024-04-09 22:39:58.327846050,6.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2620:149:a43:180::2:1,62154.0,443.0,195.0,163.0,,0,
1,2024-04-09 22:39:58.338968039,6.0,2620:149:a43:180::2:1,2600:1700:1420:3b60:e46c:b485:479d:6b1a,443.0,62154.0,32.0,0.0,,0,
2,2024-04-09 22:39:58.339129925,6.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2620:149:a43:180::2:1,62154.0,443.0,745.0,713.0,,0,0 days 00:00:00.011283875
3,2024-04-09 22:39:58.344152927,6.0,2620:149:a43:180::2:1,2600:1700:1420:3b60:e46c:b485:479d:6b1a,443.0,62154.0,32.0,0.0,,0,0 days 00:00:00.005184888
4,2024-04-09 22:39:58.361704111,,,,,,,,,0,
5,2024-04-09 22:39:58.430315971,6.0,2620:149:a43:180::2:1,2600:1700:1420:3b60:e46c:b485:479d:6b1a,443.0,62154.0,687.0,655.0,,0,0 days 00:00:00.086163044
6,2024-04-09 22:39:58.430521011,6.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2620:149:a43:180::2:1,62154.0,443.0,32.0,0.0,,0,0 days 00:00:00.091391086
7,2024-04-09 22:39:58.465271950,17.0,192.168.1.81,224.0.0.251,5353.0,5353.0,68.0,40.0,_googlecast._tcp.local.,0,
8,2024-04-09 22:39:58.465301991,17.0,fe80::813:7ec4:1375:15d9,ff02::fb,5353.0,5353.0,48.0,40.0,_googlecast._tcp.local.,0,
9,2024-04-09 22:39:58.508419991,17.0,192.168.1.81,192.168.1.255,57621.0,57621.0,68.0,40.0,,0,
10,2024-04-09 22:39:58.557379961,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1700:1420:3b60::1,40702.0,53.0,45.0,37.0,accounts.google.com.,0,
11,2024-04-09 22:39:58.557420969,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1700:1420:3b60::1,35707.0,53.0,45.0,37.0,accounts.google.com.,0,0 days 00:00:00.000041008
12,2024-04-09 22:39:58.557427883,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1700:1420:3b60::1,62080.0,53.0,45.0,37.0,accounts.google.com.,0,0 days 00:00:00.000006914
13,2024-04-09 22:39:58.560429096,17.0,2600:1700:1420:3b60::1,2600:1700:1420:3b60:e46c:b485:479d:6b1a,53.0,40702.0,73.0,65.0,accounts.google.com.,0,0 days 00:00:00.130113125
14,2024-04-09 22:39:58.560431957,17.0,2600:1700:1420:3b60::1,2600:1700:1420:3b60:e46c:b485:479d:6b1a,53.0,35707.0,61.0,53.0,accounts.google.com.,0,0 days 00:00:00.000002861
15,2024-04-09 22:39:58.566973925,6.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2607:f8b0:4002:c09::54,64696.0,443.0,44.0,0.0,,0,
16,2024-04-09 22:39:58.572410107,17.0,2600:1700:1420:3b60::1,2600:1700:1420:3b60:e46c:b485:479d:6b1a,53.0,62080.0,95.0,87.0,accounts.google.com.,0,0 days 00:00:00.011978150
17,2024-04-09 22:39:58.572516918,58.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1700:1420:3b60::1,,,143.0,,accounts.google.com.,0,0 days 00:00:00.015089035
18,2024-04-09 22:39:58.589375019,17.0,192.168.1.81,239.255.255.250,62035.0,1900.0,199.0,171.0,,0,
