,time,protocol,src_ip,dst_ip,src_port,dst_port,length,payload_size,query_name,spotify_or_not,interarrival_time,dst_interarrival_time
0,1713821926.275971,17.0,2603:8000:b9f0:30a0:d1b2:cc66:8f1b:b1fb,2603:8000:b9f0:30a0::1,63407.0,53.0,46.0,38.0,accounts.spotify.com.,1,,
1,1713821926.286796,17.0,2603:8000:b9f0:30a0:d1b2:cc66:8f1b:b1fb,2603:8000:b9f0:30a0::1,57039.0,53.0,61.0,53.0,smoot-searchv2-ausw2c.v.aaplimg.com.,0,0.010825157165527344,0.010825157165527344
2,1713821926.286917,17.0,2603:8000:b9f0:30a0:d1b2:cc66:8f1b:b1fb,2603:8000:b9f0:30a0::1,64741.0,53.0,61.0,53.0,smoot-searchv2-ausw2c.v.aaplimg.com.,0,0.00012087821960449219,0.00012087821960449219
3,1713821926.288668,17.0,2603:8000:b9f0:30a0::1,2603:8000:b9f0:30a0:d1b2:cc66:8f1b:b1fb,53.0,63407.0,95.0,87.0,accounts.spotify.com.,1,0.001750946044921875,
4,1713821926.292054,17.0,2603:8000:b9f0:30a0:d1b2:cc66:8f1b:b1fb,2603:8000:b9f0:30a0::1,54046.0,53.0,56.0,48.0,edge-web.dual-gslb.spotify.com.,1,0.0033860206604003906,0.005136966705322266
5,1713821926.300164,17.0,2603:8000:b9f0:30a0::1,2603:8000:b9f0:30a0:d1b2:cc66:8f1b:b1fb,53.0,64741.0,121.0,113.0,smoot-searchv2-ausw2c.v.aaplimg.com.,0,0.00811004638671875,0.01149606704711914
6,1713821926.301293,17.0,2603:8000:b9f0:30a0::1,2603:8000:b9f0:30a0:d1b2:cc66:8f1b:b1fb,53.0,57039.0,121.0,113.0,smoot-searchv2-ausw2c.v.aaplimg.com.,0,0.0011289119720458984,0.0011289119720458984
7,1713821926.30453,6.0,192.168.1.46,44.228.151.38,49490.0,443.0,64.0,0.0,,0,0.003237009048461914,
8,1713821926.304926,17.0,2603:8000:b9f0:30a0::1,2603:8000:b9f0:30a0:d1b2:cc66:8f1b:b1fb,53.0,54046.0,84.0,76.0,edge-web.dual-gslb.spotify.com.,1,0.0003960132598876953,0.0036330223083496094
9,1713821926.305477,6.0,2603:8000:b9f0:30a0:d1b2:cc66:8f1b:b1fb,2600:1901:1:c36::,53175.0,443.0,44.0,0.0,,0,0.0005509853363037109,
10,1713821926.318163,17.0,2603:8000:b9f0:30a0:d1b2:cc66:8f1b:b1fb,2603:8000:b9f0:30a0::1,57385.0,53.0,42.0,34.0,open.spotify.com.,1,0.012686014175415039,0.026108980178833008
11,1713821926.318796,17.0,2603:8000:b9f0:30a0:d1b2:cc66:8f1b:b1fb,2603:8000:b9f0:30a0::1,62427.0,53.0,42.0,34.0,open.spotify.com.,1,0.0006330013275146484,0.0006330013275146484
12,1713821926.319061,17.0,2603:8000:b9f0:30a0:d1b2:cc66:8f1b:b1fb,2603:8000:b9f0:30a0::1,59075.0,53.0,42.0,34.0,open.spotify.com.,1,0.0002651214599609375,0.0002651214599609375
13,1713821926.321456,6.0,2600:1901:1:c36::,2603:8000:b9f0:30a0:d1b2:cc66:8f1b:b1fb,443.0,53175.0,40.0,0.0,,0,0.0023949146270751953,0.01653003692626953
14,1713821926.32157,6.0,2603:8000:b9f0:30a0:d1b2:cc66:8f1b:b1fb,2600:1901:1:c36::,53175.0,443.0,32.0,0.0,,0,0.00011396408081054688,0.016093015670776367
15,1713821926.330433,17.0,2603:8000:b9f0:30a0::1,2603:8000:b9f0:30a0:d1b2:cc66:8f1b:b1fb,53.0,57385.0,140.0,132.0,open.spotify.com.,1,0.008862972259521484,0.008976936340332031
16,1713821926.331234,17.0,2603:8000:b9f0:30a0:d1b2:cc66:8f1b:b1fb,2603:8000:b9f0:30a0::1,62068.0,53.0,56.0,48.0,edge-web.dual-gslb.spotify.com.,1,0.00080108642578125,0.012172937393188477
17,1713821926.333436,17.0,2603:8000:b9f0:30a0::1,2603:8000:b9f0:30a0:d1b2:cc66:8f1b:b1fb,53.0,59075.0,91.0,83.0,open.spotify.com.,1,0.0022020339965820312,0.0030031204223632812
18,1713821926.333461,17.0,2603:8000:b9f0:30a0::1,2603:8000:b9f0:30a0:d1b2:cc66:8f1b:b1fb,53.0,62427.0,103.0,95.0,open.spotify.com.,1,2.5033950805664062e-05,2.5033950805664062e-05
19,1713821926.341924,17.0,2603:8000:b9f0:30a0::1,2603:8000:b9f0:30a0:d1b2:cc66:8f1b:b1fb,53.0,62068.0,121.0,113.0,edge-web.dual-gslb.spotify.com.,1,0.008462905883789062,0.008462905883789062
20,1713821926.3433,6.0,2603:8000:b9f0:30a0:d1b2:cc66:8f1b:b1fb,2600:1901:1:c36::,54525.0,443.0,44.0,0.0,,0,0.0013761520385742188,0.02173018455505371
21,1713821926.347132,6.0,44.228.151.38,192.168.1.46,443.0,49490.0,60.0,0.0,,0,0.0038318634033203125,
22,1713821926.362728,6.0,2600:1901:1:c36::,2603:8000:b9f0:30a0:d1b2:cc66:8f1b:b1fb,443.0,53175.0,32.0,0.0,,0,0.015596151351928711,0.020804166793823242
23,1713821926.362795,6.0,2600:1901:1:c36::,2603:8000:b9f0:30a0:d1b2:cc66:8f1b:b1fb,443.0,54525.0,40.0,0.0,,0,6.699562072753906e-05,6.699562072753906e-05
